AM-001,Ammo x 10,Premier,Ammo,0,null,null,null
AM-002,Ammo x 20,Premier,Ammo,30,null,null,null
AM-003,Ammo x 30,Premier,Ammo,60,null,null,null
MA-018,Time Bonus +1,Premier,Bonus,null,null,null,null
MA-019,Time Bonus +2,Premier,Bonus,null,null,null,null
MA-020,Time Bonus +3,Premier,Bonus,null,null,null,null
MA-021,Combo Bonus,Premier,Bonus,null,null,null,null
AM-001,Ammo x 10,Alliance,Ammo,0,null,null,null
AM-002,Ammo x 20,Alliance,Ammo,30,null,null,null
AM-003,Ammo x 30,Alliance,Ammo,60,null,null,null
MA-018,Time Bonus +1,Alliance,Bonus,null,null,null,null
MA-019,Time Bonus +2,Alliance,Bonus,null,null,null,null
MA-020,Time Bonus +3,Alliance,Bonus,null,null,null,null
MA-021,Combo Bonus,Alliance,Bonus,null,null,null,null
AM-004,Treasure,Alliance,Ammo,40,null,null,You get +30 gold this turn
AM-001,Ammo x 10,Mercenaries,Ammo,0,null,null,When you trash this card~ you get +10 gold during this turn
AM-002,Ammo x 20,Mercenaries,Ammo,30,null,null,When you defeat an infected~ if this ammunition is in your play area~ you may trash it and gain one “Ammo x 30” card. You may use this effect only once per turn
AM-003,Ammo x 30,Mercenaries,Ammo,60,null,null,At the end of your turn~ if this ammunition is in your play area and you did not explore during this turn~ you may move this card to the top of your inventory
SK-001,Extension LV. 1,Mercenaries,Skill,1 XP,null,null,At the beginning of your turn~ if there are five or more infected attached to all characters in total or if your team has ten or more decorations~ you get +20 ammo during this turn 
SK-002,Extension LV. 2,Mercenaries,Skill,4 XP,null,null,At the beginning of your turn~ if there are ten or more infected attached to all characters in total or if your team has twenty or more decorations~ your character deals an additional 10 damage during this turn. Then~ heal your character's health by 20 
SK-003,Extension LV. 3,Mercenaries,Skill,5 XP,null,null,At the beginning of your turn~ if there are fifteen or more infected attached to all characters in total or if your team has thirty or more decorations~ you get +1 explore during this turn
SK-004,Medic LV. 1,Mercenaries,Skill,1 XP,null,null,When you would heal your character~ you may heal that amount plus 10 instead
SK-005,Medic LV. 2,Mercenaries,Skill,2 XP,null,null,When you heal your character~ you may trash one card from your discard pile
SK-006,Medic LV. 3,Mercenaries,Skill,5 XP,null,null,At the beginning of your turn~ heal your character's health by 20. If your character was already at maximum health~ you may get +1 explore instead
